id,minimo_sueldo,total_gasto_inicial
1,683485,439585
2,414860,267539
3,"432687,5",271798
4,532855,333510
5,923475,577385
6,1028700,676335
7,"1576312,5",987266
8,365095,228244
9,555210,353830
10,332640,212229
11,1122660,716766
12,150000,95454
13,260715,165698
14,677635,436837
15,616810,398365
16,"1342102,5",867397
17,"997492,5",623904
18,"865087,5",557269
19,"714517,5",446127
20,"681042,5",438928
21,"366042,5",235580
22,636475,396895
23,454125,298029
24,"765627,5",495257
25,483570,316960
26,304235,196949
27,"577722,5",379181
28,170190,108281
29,"305677,5",196495
30,"625722,5",391327
31,"549157,5",343517
32,643080,409259
33,1131570,744711
34,272130,173638
35,198805,124589
36,672455,420561
37,929880,610696
38,720350,465102
39,731570,472207
40,"160892,5",100818
41,746475,474515
42,"702612,5",453522
43,1069355,691690
44,338720,211617
45,259560,170472
46,"686287,5",442450
47,"524972,5",338853
48,"300317,5",187947
49,"460687,5",303394
50,1167800,769994
51,190920,121965
52,690580,432758
53,329175,209678
54,487290,315462
55,"417522,5",259708
56,"822972,5",531656
57,564655,354374
58,436050,277190
59,"1502937,5",945173
60,927840,596227
61,"727022,5",469730
62,924045,580427
63,501400,315492
64,1273390,819991
65,1117125,698930
66,542105,337920
67,760660,475384
68,"442642,5",290310
69,1222545,765762
70,453870,298923
71,"418162,5",266032
72,577010,378589
73,"1111627,5",695779
74,556215,358470
75,671790,427513
76,"456467,5",286255
77,"264362,5",170893
78,"1105172,5",691852
79,934815,600895
80,1031940,657696
81,"456742,5",295988
82,489200,316198
83,545540,342552
84,"1387877,5",867725
85,"190737,5",119882
86,"736047,5",475033
87,"312477,5",199624
88,168860,105571
89,504450,330995
90,"550822,5",355911
91,997010,643826
92,546430,343877
93,514780,321570
94,450900,296337
95,"434767,5",285999
96,532080,345131
97,454395,285317
98,743005,489773
99,1562085,977755
100,"726667,5",455038
101,1287725,848118
102,"158312,5",98709
103,504000,320768
104,410560,265295
105,488160,310096
106,666350,430665
107,910420,589372
108,"713632,5",459536
109,938755,587844
110,"1062702,5",684276
111,"1057807,5",682453
112,"1412777,5",912155
113,"514552,5",339033
114,539495,346157
115,"412487,5",265922
116,506235,316559
117,351890,220020
118,869520,563537
119,"175957,5",113814
120,"306637,5",201005
121,"567357,5",354667
122,886425,551341
123,1337700,879484
124,1065780,680889
125,"741842,5",464647
126,"482657,5",317075
127,"358447,5",231930
128,150000,98749
129,736680,474905
130,"384567,5",249238
131,412425,271795
132,489370,315375
133,1257705,786912
134,"617792,5",399455
135,"162312,5",101817
136,244210,152573
137,"312782,5",201921
138,"409332,5",264913
139,939915,607322
140,304525,195631
141,"738142,5",474473
142,620315,399459
143,558495,355333
144,"805917,5",521280
145,869610,543643
146,"1019302,5",650533
147,594150,390562
148,370585,231899
149,1072170,683604
150,"1271882,5",794547
151,"166072,5",105775
152,"408767,5",262870
153,"735842,5",462078
154,"510052,5",317676
155,"361987,5",231267
156,"592632,5",370383
157,"514232,5",331011
158,509340,328244
159,740315,470625
160,251715,165584
161,"717482,5",463465
162,714750,460323
163,"474027,5",305340
164,"600842,5",377629
165,"739777,5",472488
166,404230,259863
167,"698567,5",451581
168,1330385,831610
169,"1144322,5",737838
170,755220,475117
171,"766862,5",496576
172,"554877,5",349243
173,"170752,5",106645
174,778610,485940
175,283125,176950
176,657460,424646
177,594660,391594
178,304830,191788
179,339095,219018
180,678810,432898
181,"1072412,5",693172
182,"1070772,5",673920
183,"714532,5",447407
184,"860257,5",553817
