id,tipo_propiedad,barrio,precio,ambientes,superficie_m2,antigüedad,expensas,garantía_requerida,precio_m2,score_crediticio_requerido,comisión_inmobiliaria,cochera,gastos_administrativos,tipo_incremento
1,Departamento,Barrio Jardín,258984,3,84,35,14410,3 recibos de sueldo,3083.14,577,161478,No,4713,ICL cada 3 meses
2,Departamento,Pueyrredón,159099,2,81,19,6845,3 recibos de sueldo,1964.19,545,99199,Sí,2396,ICL cada 6 meses
3,Departamento,Villa Belgrano,165228,2,77,4,7847,1 recibo de sueldo,2145.82,720,94621,Sí,4102,IPC cada 6 meses
4,Departamento,Centro,204228,3,97,14,8914,1 recibo de sueldo,2105.44,626,116955,Sí,3413,IPC cada 6 meses
5,Departamento,Cerro de las Rosas,350784,3,87,26,18606,2 recibos de sueldo,4032.0,598,200883,Sí,7112,IPC cada 6 meses
6,PH,Cerro de las Rosas,411480,3,102,20,0,1 recibo de sueldo,4034.12,589,256561,Sí,8294,ICL cada 4 meses
7,Departamento,Nueva Córdoba,597392,5,139,33,33133,2 recibos + garantía propietaria,4297.78,671,342108,Sí,14633,IPC cada 3 meses
8,Departamento,Observatorio,138075,2,71,25,7963,2 recibos de sueldo,1944.72,661,79071,No,3135,IPC cada 6 meses
9,Casa,Centro,222084,3,99,1,0,1 recibo de sueldo,2243.27,655,127180,Sí,4566,IPC cada 6 meses
10,Casa,Villa El Libertador,133056,2,58,2,0,2 recibos de sueldo,2294.07,553,76197,No,2976,IPC cada 6 meses
11,PH,Nueva Córdoba,449064,3,101,20,0,1 recibo + garantía propietaria,4446.18,547,257165,Sí,10537,IPC cada 6 meses
12,Casa,Pueyrredón,60000,1,26,6,0,2 recibos de sueldo,2307.69,584,34360,Sí,1094,IPC cada 6 meses
13,PH,Observatorio,104286,2,47,18,0,2 recibos de sueldo,2218.85,679,59721,No,1691,IPC cada 4 meses
14,Departamento,General Paz,256386,2,70,27,14668,3 recibos de sueldo,3662.66,704,159858,No,5925,ICL cada 6 meses
15,Departamento,General Paz,236783,2,59,17,9941,3 recibos de sueldo,4013.27,796,147636,Sí,4005,ICL cada 4 meses
16,Departamento,General Paz,514949,4,126,11,21892,1 recibo + garantía propietaria,4086.9,566,321075,No,9481,ICL cada 4 meses
17,Departamento,Urca,377055,3,108,20,21942,1 recibo + garantía propietaria,3491.25,722,215928,Sí,8979,IPC cada 6 meses
18,Departamento,Alberdi,327414,5,143,3,18621,1 recibo + garantía propietaria,2289.61,478,204145,No,7089,ICL cada 6 meses
19,Departamento,Cofico,272403,3,89,23,13404,1 recibo de sueldo,3060.71,685,155997,Sí,4323,IPC cada 4 meses
20,Departamento,Urca,259791,2,76,22,12626,1 recibo de sueldo,3418.3,498,161982,No,4529,ICL cada 3 meses
21,Departamento,San Vicente,139305,2,67,15,7112,2 recibos + garantía propietaria,2079.18,527,86857,No,2306,ICL cada 3 meses
22,Departamento,Cerro de las Rosas,242022,2,53,7,12568,2 recibos de sueldo,4566.45,725,138598,Sí,3707,IPC cada 4 meses
23,PH,Urca,181650,2,50,27,0,2 recibos de sueldo,3633.0,665,113260,No,3119,ICL cada 6 meses
24,Departamento,Barrio Jardín,293040,3,85,15,13211,1 recibo + garantía propietaria,3447.53,618,182713,No,6293,ICL cada 3 meses
25,Casa,Alta Córdoba,193428,3,83,1,0,3 recibos de sueldo,2330.46,510,120604,Sí,2928,ICL cada 4 meses
26,Departamento,Villa Cabrera,116112,2,62,36,5582,2 recibos de sueldo,1872.77,686,72396,No,2859,ICL cada 3 meses
27,PH,General Paz,231089,2,61,26,0,1 recibo de sueldo,3788.34,658,144086,No,4006,ICL cada 6 meses
28,PH,Alberdi,68076,1,33,17,0,1 recibo de sueldo,2062.91,722,38985,Sí,1220,IPC cada 6 meses
29,Departamento,Centro,116184,2,52,12,6087,1 recibo + garantía propietaria,2234.31,476,72441,No,1783,ICL cada 6 meses
30,Departamento,Nueva Córdoba,239712,2,59,40,10577,1 recibo de sueldo,4062.92,712,137275,No,3763,IPC cada 3 meses
31,Departamento,Centro,207234,4,99,26,12429,2 recibos de sueldo,2093.27,595,118676,Sí,5178,IPC cada 4 meses
32,PH,Cerro de las Rosas,257232,2,61,16,0,1 recibo + garantía propietaria,4216.92,679,147309,No,4718,IPC cada 3 meses
33,PH,Nueva Córdoba,452628,3,102,20,0,2 recibos + garantía propietaria,4437.53,643,282217,Sí,9866,ICL cada 6 meses
34,PH,Pueyrredón,108852,2,46,7,0,2 recibos + garantía propietaria,2366.35,564,62336,No,2450,IPC cada 4 meses
35,Departamento,Pueyrredón,76050,1,35,5,3472,2 recibos + garantía propietaria,2172.86,608,43551,No,1516,IPC cada 4 meses
36,Departamento,Villa Cabrera,255918,4,114,7,13064,2 recibos de sueldo,2244.89,562,146556,Sí,5023,IPC cada 4 meses
37,PH,Urca,371952,3,98,8,0,2 recibos + garantía propietaria,3795.43,597,231915,Sí,6829,ICL cada 6 meses
38,Departamento,Nueva Córdoba,274137,2,62,24,14003,3 recibos de sueldo,4421.56,559,170926,Sí,6036,ICL cada 4 meses
39,Departamento,Villa El Libertador,278952,4,124,3,13676,2 recibos + garantía propietaria,2249.61,690,173929,Sí,5650,ICL cada 4 meses
40,Departamento,Alta Córdoba,61596,1,31,26,2761,1 recibo de sueldo,1986.97,564,35274,No,1187,IPC cada 4 meses
41,PH,Cerro de las Rosas,298590,2,73,15,0,1 recibo de sueldo,4090.27,705,170993,Sí,4932,IPC cada 6 meses
42,Departamento,Alta Córdoba,267330,4,123,10,13715,2 recibos de sueldo,2173.41,900,166682,Sí,5795,ICL cada 3 meses
43,Departamento,Nueva Córdoba,410572,3,83,8,17170,1 recibo + garantía propietaria,4946.65,624,255995,Sí,7953,ICL cada 6 meses
44,Departamento,Yofre,129315,2,61,15,6173,2 recibos de sueldo,2119.92,491,74054,No,2075,IPC cada 6 meses
